Marketing_Spend,Employees,Time,Sales
97093,36,325,133090.8850499844
37606,11,3,39276.267914705706
16534,91,157,153687.95336126586
99663,88,359,206458.64748742586
45397,88,141,140494.80830621027
96387,36,353,120809.88888383162
6016,94,60,115125.49312468353
94789,92,84,190936.57823438486
60591,69,323,143238.39378651587
94812,62,198,158093.50927035324
28247,57,363,98174.64836835838
29300,96,337,149125.601453111
79065,94,303,175666.68495446033
87798,38,97,125034.02273906455
14268,94,161,138446.791539219
91807,73,6,160073.33687960674
17185,60,334,115121.1019573008
68704,70,326,160043.7425400458
91779,36,323,120190.13951241811
44099,54,357,118040.74631486858
13571,98,280,129665.60651415464
43044,28,205,76268.92948897916
56214,96,321,182264.72533220417
66228,50,243,119493.91193968135
53984,7,181,58897.24068757076
45774,14,128,64435.760236201684
7568,10,100,31396.800310382434
67592,99,288,185442.58844920882
72563,56,69,141598.7622819491
7695,54,327,93101.02267478866
53190,62,242,119693.75659715044
10258,56,45,111797.20542924094
92538,17,32,86793.76527670356
44504,63,28,126653.05520775352
38159,43,353,102198.32395688504
18986,57,238,119300.32938736395
66858,62,270,133636.31249583917
17666,24,141,56880.577129268015
43660,67,168,136012.39912070765
8561,14,113,46825.505663316544
31854,30,113,66988.27697458326
69505,23,286,104035.12621432694
57251,97,34,160675.00998302852
27662,65,46,102895.1800346237
13392,81,1,104434.50895736206
35535,38,187,72668.00404315851
83603,88,170,173970.06219289446
57256,48,242,116900.57635522976
94135,22,275,119811.84209610769
40222,76,23,118553.3606607178
82373,20,66,100638.37229603973
84575,91,86,198648.1118716151
89651,81,200,187888.58757258815
68335,30,87,105378.84194975656
15965,69,328,114469.06527681963
29538,70,345,110406.328956812
75592,81,227,177478.27244160738
13110,31,111,68683.63313368306
84309,8,139,58338.404060593784
32266,55,297,96150.37645476962
57992,88,235,156893.3649949503
87948,7,262,75645.9645195272
11910,91,362,127105.34749663722
95982,70,301,189530.15642467185
5206,20,209,47653.72205219565
92054,78,228,177808.50516224696
92897,32,185,120830.87027849993
28419,48,82,104918.58724982305
55636,22,161,75661.36975518713
55015,6,189,51384.67933727512
59268,82,18,159736.5103946673
92939,48,7,122580.984495505
23141,24,285,40543.22342097311
85356,60,197,149309.6151574736
76910,27,223,90900.32658444294
61044,64,74,138196.00958367134
72214,75,16,151541.17241248576
38827,49,260,103837.84992075062
60820,51,65,113451.19286496531
67623,82,72,156294.335399006
86734,41,129,122411.28294959266
80450,12,220,94615.2200945527
98426,9,131,82803.53244111875
27299,27,64,73633.33222573626
48585,14,242,67515.71674517197
69044,31,66,109536.0364805431
47557,5,89,59724.95019004393
54080,75,313,142481.5781227262
7693,12,357,48262.64981544233
74163,15,274,80194.22366512037
30939,32,106,64930.42467575707
53925,38,39,73287.4245790223
47941,47,124,117154.91306927711
26834,88,121,147728.70775883907
23047,32,84,52491.709820861244
31105,53,209,99234.02101446505
80766,65,263,158873.8527169449
20707,41,112,77348.6049814092
26976,7,68,27345.266308280305
49262,13,292,75974.22442467784
28776,90,222,158967.09840236697
35080,93,1,158710.41789425767
71842,6,247,79229.27836096332
66373,27,291,101632.50579779927
11776,55,76,66995.1477765812
97787,21,80,96499.01692903799
60016,29,156,86538.84551823186
14474,80,288,139185.5781311974
63053,31,238,99610.86801417306
26959,24,291,51779.19178381145
10530,77,19,95933.26776402455
99856,91,93,205189.8482374702
8748,40,93,61069.865618128475
18545,32,80,48164.252419576354
71199,33,260,105067.87142110783
39766,46,113,89804.05288736314
78530,62,115,136122.15957004123
98557,36,172,144751.6399040661
66087,16,62,96478.7721196426
73840,34,129,96755.01111224071
59384,64,339,130244.54964299282
56005,15,307,56215.13389462423
51576,88,116,155467.5153380178
44353,15,108,76921.2439793372
67003,84,218,169446.97511397925
88211,54,204,153934.0069871511
57733,5,145,68813.09850262447
70318,93,37,170038.64716194416
94474,31,36,119882.6553850384
28664,36,325,81711.85991740308
72172,10,102,71730.40935110883
90616,45,131,139275.0943270241
98264,40,333,149444.29954620375
31736,43,197,87370.57692785683
99209,91,361,202848.9512603818
5854,97,279,140815.4357420377
95084,34,47,123282.46839237385
43623,90,214,148410.26905547013
12392,61,34,75605.22516104233
60680,15,297,68592.42773489015
51717,94,218,162130.46391630056
92092,91,303,201504.76866397372
55859,7,159,61409.762249379426
31309,52,35,84895.41985889757
92455,10,301,98088.13936545991
68734,11,313,69143.92001503395
75467,48,224,122266.6147532763
57662,65,117,143792.43552000445
17688,58,111,106303.09846889894
30342,55,326,128777.06478902095
42157,90,149,154708.95602104065
72863,52,237,130660.63041226106
57083,65,359,137835.99544408155
70733,44,49,112013.57126937137
94045,7,47,77368.91003503124
39698,34,101,79322.16876386588
85623,28,266,114851.66557954963
27671,71,86,105974.76030942635
30184,6,237,42331.66517851141
98384,48,355,148096.20769181187
47107,44,294,98073.75216284714
91202,23,36,109328.80977420176
56663,67,316,125119.19563702724
20708,28,196,48177.47512551467
96906,54,237,131646.70114377054
54811,24,74,62623.51404336884
7811,61,352,124310.84381810583
61250,54,330,147601.82146062035
77082,99,235,185693.3550747023
39754,62,330,118231.32979651027
16411,35,114,58601.20617161589
7911,41,231,63778.20596982048
72270,97,137,194652.28644615316
88763,8,13,86497.64333468169
13680,62,185,88750.89200017478
89896,14,82,92927.78934276303
88879,67,313,187192.58261396625
76295,40,165,118801.50187758585
93614,59,11,163157.93390565173
16111,61,6,95767.89901405013
42504,89,175,159766.11475809323
6802,47,285,67192.10153252499
13155,69,103,114118.2127626394
78656,16,143,79245.62624890389
44384,66,184,139917.26495603993
52254,28,325,90174.18762296392
26918,6,342,27561.024037727842
90981,51,159,141013.85972578052
65713,60,275,151115.8713205784
35306,88,243,141905.43980574768
21646,20,146,70979.82339113065
51843,38,186,98861.5048075253
95735,81,198,206301.60764774767
21371,22,201,52813.61909465208
82371,33,30,110142.65002954713
7049,58,223,88870.62908319736
36616,55,163,107400.05649691845
25932,18,17,44922.54040080523
34855,98,234,153691.35547241988
66434,62,225,137895.96885520013
77694,39,324,121180.71479366263
48016,13,254,60000.38154452499
12400,41,289,75266.25974883838
47642,16,242,80899.28888165328
20151,89,244,138329.2520244164
56407,86,292,169481.58322575444
71690,15,267,85277.97775047945
9499,31,188,70326.89889417865
11295,92,120,127113.81046016172
64040,47,260,117506.52821946691
17183,54,191,93323.78934296985
34299,24,243,65626.8859718346
17874,17,356,64561.45536479892
37711,51,5,86118.34780997435
10539,12,192,48171.771926741705
58351,73,341,147172.24876105363
66267,75,205,155905.12188042828
53354,68,132,112105.42792667182
7557,48,114,68252.28198714575
43360,16,291,78542.34595224184
87018,8,26,94550.92644804325
7200,44,154,82540.9848771513
73497,23,19,101293.5862380825
51975,58,37,107273.8738079611
26357,5,139,60737.557988545246
82505,17,66,97328.30011851332
7869,54,31,69117.78777427509
66135,57,203,129032.91508136822
55108,46,44,93045.57264590547
99179,29,272,138010.2362736762
95272,48,2,142091.51937187708
43467,65,59,120076.5746902087
28328,85,246,142229.4000182244
96412,94,176,207886.68063881766
91831,25,164,111363.75654605069
8987,55,264,72771.49812282744
63871,80,36,163085.75538089735
27399,84,107,113116.2716403943
51214,56,25,120835.32716225997
91416,67,236,172833.6363242209
75271,88,260,175878.97449594803
49064,58,109,110275.68086790167
75091,14,171,72862.47514680117
45818,91,155,150510.89594805607
50525,98,109,146830.8312250607
24830,63,120,102934.9175636656
22429,12,217,53849.67436816536
11893,55,145,66909.26473414962
84909,9,341,90754.74565127892
52333,80,335,165124.14858471995
8436,46,112,85266.34026785288
79290,82,117,169484.86499871867
81213,16,24,66529.37298786515
10895,28,263,45225.71842491192
24738,49,117,74808.80021062345
35746,57,63,111582.40657614423
54377,57,252,132652.27554194402
53404,21,230,73363.68811378139
59045,69,150,143339.02326223743
44790,62,106,104625.402534892
10600,41,181,65739.14302912062
99660,79,330,186167.11810991907
98179,46,268,144925.59219913726
45764,74,104,119578.73123904943
79543,83,278,179549.23123502856
50714,44,167,84773.36725695978
61835,27,47,73041.18879164355
78744,27,44,90427.45439420377
61491,53,16,124669.69920409963
23589,80,315,135860.75448603128
48484,11,34,45611.11522998484
87989,41,208,130779.54462655965
41212,20,55,72229.36445240612
48525,42,253,121731.5460595556
52202,44,74,105641.27854480036
37635,33,24,79596.44000244871
68208,21,111,74992.7002835843
38828,94,242,159345.71582477645
23711,24,240,62206.478612447114
8420,29,130,46685.20190413922
5301,64,159,77426.62253799026
50236,42,63,86168.76244294271
71235,67,47,133182.12680944285
59240,43,255,121430.84789229957
70726,68,19,135974.7663969982
15492,87,56,117229.33774961221
11102,25,11,27240.06096315801
55336,36,342,105894.60886726642
90314,32,223,129352.07345981049
31641,16,74,32191.571710126664
39584,83,134,135177.5026703805
37745,96,159,156865.86846376624
28093,89,243,158788.82597554068
71105,84,99,156402.83056372913
56885,27,306,103810.47049236642
41631,94,360,155729.23393186787
77991,19,250,108373.71557479618
9014,16,29,24780.387550737374
16093,8,277,37805.139082179485
23070,39,169,81945.8294624908
40777,99,325,143930.1020483832
61958,65,197,111309.70921098965
87074,31,88,119705.36452009958
15729,37,335,85589.67084658446
50017,17,284,87861.8173550365
71320,41,162,121687.48370467822
32751,48,56,94396.1972639821
83069,6,183,79713.98705373004
59748,42,214,107112.97408306862
10801,41,29,65969.48923882122
24190,63,3,79085.02160517416
54689,73,325,148140.1895940725
55993,22,267,85736.05272138375
34592,52,254,104710.77915106567
15647,85,176,106080.69306633972
13716,70,105,107325.14547398828
93891,53,309,141954.44845435928
92545,62,312,165121.4947537437
94912,39,154,145365.2420243722
75316,82,364,175001.94633833139
7368,80,193,107554.50133785569
82575,62,358,140962.2676716976
11655,11,56,32503.0901238971
75031,13,284,89348.55195333486
81429,73,151,156489.3777470127
96083,8,189,89931.07064455604
92922,36,82,119454.14414270957
60766,9,16,56540.80962898405
18403,60,187,89531.15525358423
37097,60,234,107823.12844622704
83657,48,176,140093.0867607567
15966,76,273,106062.13741025582
98848,17,35,105619.8546971734
57921,8,95,63906.293652705484
54726,56,216,119973.60124495342
55300,79,169,146647.52731161003
27677,19,293,60167.35826207486
60609,86,113,151118.99595343161
61661,88,30,145513.02415890477
36024,5,338,58562.38223482894
75313,69,219,142653.298723101
58006,15,361,86453.19875276215
20338,97,47,145276.92227654462
73027,65,284,137732.52179553706
97772,97,41,204618.51260752027
85135,92,253,168770.5713758318
24508,88,301,151394.6747803631
8051,98,353,137812.1876537641
53747,67,112,138056.33415887167
92142,42,201,136141.42698920533
92235,73,216,176267.63185437175
59021,49,141,101709.61192858504
71412,78,222,185371.67431639126
63335,74,171,156809.45494447532
61179,72,225,156745.4517587067
37093,8,119,57168.449897150196
74678,75,110,159108.9308947679
85738,52,58,136807.4557163763
44734,13,276,73592.70035587465
77615,94,114,178658.7121246708
78523,51,191,125220.50549522132
99476,89,1,196131.63391238137
22019,64,23,95347.37230256115
88613,56,33,135608.49228808776
96794,90,185,168849.81517071158
91672,37,209,132656.48661020803
78847,62,182,144856.8854287157
87750,52,95,142203.60852210916
84634,9,123,84601.28514030541
33251,89,159,152208.15588634042
30945,31,246,77958.67057765633
95852,45,165,146189.92807246023
37217,5,357,60036.46788778247
13308,55,248,94047.53153677071
10949,20,245,42396.59797254809
56990,36,257,113226.65420244522
6150,97,146,124447.72311170484
94480,51,295,144192.0611338529
79740,27,282,102827.1897583018
71617,19,331,108216.52565705236
99841,30,193,113181.11300681876
21896,41,125,74696.52187293657
51175,93,125,156730.6733035816
12805,59,57,79350.52682505045
10237,6,197,17747.744843340006
25056,80,214,137549.6387979205
50543,23,17,78108.21442654984
61556,36,358,107489.76847857934
8343,91,199,126078.6234132896
18500,73,268,111922.313762493
58222,59,294,117806.31675729498
34375,93,215,155639.35347248032
14662,60,176,86856.00555645447
21964,33,310,52154.288720892815
64638,88,72,151048.98940696605
78666,40,15,119334.91272483136
90067,75,30,167794.75221438555
72215,90,55,168051.21886362182
74042,86,73,175739.4516871853
18284,57,109,82442.03154532694
77789,89,149,179868.5708778975
89664,90,236,197845.10038009228
98468,43,316,131146.0846028192
66389,80,136,147926.11873133184
14435,15,175,61655.17440794685
59340,80,248,147946.79791893583
49078,94,329,166070.4031444178
83832,34,26,107866.2787052613
56293,83,84,151158.94707339047
83781,76,230,163347.32274151235
65403,57,123,120706.60315105926
34124,86,326,172792.66948429262
48919,78,162,135901.91977064018
40247,12,60,55009.39373731057
99758,24,151,109467.68638596938
96747,16,253,107744.19602460871
67752,71,225,162660.2066173631
61573,88,125,157863.4931868434
64101,54,85,112132.64866765958
31646,16,169,55402.73622652998
28049,58,346,136029.0006828166
84605,92,69,156996.61940946867
73385,84,250,187558.84984109947
45158,58,183,103780.81795005278
70417,78,73,146035.6037721701
28289,23,45,56017.62930195645
14823,18,61,41253.77692542038
65160,56,180,142608.98788062285
46975,82,337,135851.08982614183
14540,26,256,68081.02091190699
21364,8,360,47546.49726690621
9611,63,111,97832.92302490554
32663,38,19,75357.41472737098
56991,68,264,117534.91318347302
62679,22,198,96321.94514860303
35977,86,134,126555.13127306705
99704,35,200,124284.44577225955
54115,88,88,165501.71205461991
96007,46,60,120796.9277486827
93223,78,125,168127.05535069644
65890,7,180,85231.64863571018
71387,89,347,178312.55733622407
23071,59,344,108193.21639483316
64275,14,166,72345.19282895424
77369,75,325,161047.45279308234
16938,26,144,63022.46627001902
40195,27,39,62099.52930970488
96680,80,353,188445.02599316117
9000,17,202,56084.43121832956
75588,44,51,112332.1818237141
98610,17,116,92057.28960344764
43304,99,83,170740.7603904108
74449,55,115,142807.19470507783
87986,68,297,151554.4148560095
94643,96,85,204897.77228052221
25764,87,195,146119.13640740255
91027,89,59,157194.83472789123
43494,94,245,161358.97745185648
8373,17,348,48866.32332780556
17161,33,233,70426.7978609985
97658,75,147,192082.74875863592
32350,51,336,113716.07735728433
98008,30,62,122912.64216062604
99297,74,181,174137.1736204391
30351,27,264,94176.9953914296
93668,79,302,186731.08374859803
20305,60,358,109377.77535544493
80353,89,140,163502.55962697338
81797,23,88,93878.70626351975
70953,54,65,123013.59575147755
62458,39,23,111666.81240316834
25358,53,295,99944.51655694019
8267,99,60,126603.43919597822
87745,50,44,135877.5620550147
94588,97,236,216252.12047335468
43513,74,70,144893.8870099705
31092,57,34,101299.1255192931
16338,35,25,54017.4565636665
5412,88,48,109461.5169569418
12543,26,321,57023.15027459375
38496,71,358,130845.6054504268
65692,12,138,70968.01251230892
94084,23,201,118754.19546417557
97920,35,274,138758.41342115068
49425,36,188,93055.83699634799
43756,83,329,141917.32171850323
23888,59,45,106603.26816410033
40735,35,154,95232.79276956379
52295,71,362,135869.2145910231
88042,55,36,156609.79856518665
90999,78,143,180211.78486892543
22955,96,251,145800.5114320407
42841,31,130,77058.05943223587
75640,52,230,135119.6319954705
70510,47,351,137461.59076574075
39911,99,20,175492.19110574335
64031,55,167,125735.32920104163
93726,73,301,175812.71423280382
12357,79,154,129143.84596179037
37479,75,197,139428.467134014
66476,76,68,157100.06534180773
49811,85,342,171669.686564224
41208,54,70,110526.27749277774
25150,65,229,119629.0789195554
76180,45,118,111983.14357665266
48286,55,287,115606.9322886712
73450,82,197,168742.93390476445
26352,28,325,57292.6161542001
60069,34,260,94807.90523980348
19397,56,219,101979.0906001344
46555,54,201,99258.7709672062
51959,61,37,133565.42682221587
5728,66,118,87783.13067325417
55517,83,2,147845.44387591956
71234,57,177,132605.85775809607
44954,72,231,135811.95795955494
52280,81,273,148239.8766395997
84459,73,17,169361.37841094803
21779,35,307,79835.96062152028
68932,80,28,139893.6758559127
77936,34,46,115288.86830080982
29466,14,127,47856.796178878765
41939,98,106,169129.6624939414
74896,94,215,187449.90695246088
40270,48,87,95966.35071535013
64163,10,358,73567.29244697506
87637,31,49,100672.08284585406
56934,24,27,72851.60382334837
69895,96,190,173788.04273277396
37307,24,267,54590.068008129165
59098,16,124,70001.1296652059
65921,89,172,168236.12301083267
10486,98,364,151589.10886163753
13335,53,219,93217.55715977708
91900,56,292,145021.78453014375
94112,14,144,112458.79802352207
16130,9,316,46678.02040713777
92508,68,97,158992.4636106209
65566,62,22,138886.0152167633
71703,12,206,80610.65226034677
32192,34,77,90110.95096200494
6062,21,214,56673.88668788036
89076,71,38,152186.19115119523
94780,25,65,117718.72935688253
26545,20,179,47186.0092823784
26689,31,342,76541.0638457704
16174,10,151,42980.41929140538
93461,46,271,142437.803494926
14348,20,364,55282.823449033436
28714,49,335,111293.5362573536
43102,7,287,71569.64337384296
79460,44,323,137867.87419400454
94930,24,153,98800.2319321903
11801,11,289,27709.67444060202
77267,63,97,138095.89896662903
53136,15,348,81349.1849824256
28625,97,309,160271.1739120243
87873,56,144,129461.96687304537
77592,7,235,71038.28893286211
82052,25,139,99329.13587232745
49261,57,268,120870.85963040829
6542,34,277,65314.37659417386
26677,15,142,55619.70715744598
51732,85,289,167053.79131475353
55343,29,149,81371.03106094526
44081,54,35,101801.53901573592
67856,93,63,164722.9986119367
98105,13,114,100651.54888191253
93858,49,125,132651.9649014777
24065,33,148,65107.56003460404
88460,66,319,180130.5022456462
93092,19,194,112353.89612080646
59693,23,105,87218.49929884354
31962,19,118,55819.53238944283
33295,43,255,102436.48898478667
18807,39,243,78143.98017780195
47348,17,32,67618.84425715866
31432,20,107,71482.78535046002
88285,71,97,156991.27841313047
96792,99,304,196770.5590258589
62854,59,254,141032.91306582047
45262,69,187,124597.45343961524
42080,39,276,98891.7880781513
6324,20,105,40824.39824406498
96267,5,357,110000.75651747212
40909,54,293,106697.5156636272
94339,18,40,103919.20213680362
24870,66,119,111446.74183298864
39578,11,56,60728.14770230856
77124,27,270,93795.91751515456
31790,67,164,125028.2448410913
30289,33,204,93349.9387546021
60129,26,346,94274.06711804826
98714,84,34,186033.26008408907
99246,97,6,188864.7235333861
20485,10,46,32677.992438906087
49482,86,205,169687.44427324258
91188,33,119,134228.45709059294
9748,93,355,145146.69475151494
91769,6,83,81691.11681036347
14435,68,151,102155.83528871486
8709,40,114,51712.67018041849
35355,24,64,49845.061080850865
60771,59,96,129107.49137430973
62799,41,172,106354.25771797299
18116,56,11,99350.09771852395
30470,73,68,93262.96964061851
47344,74,317,148153.7813104669
47918,26,76,87329.80315781072
57224,89,56,161061.92559619644
44298,87,179,137259.8683985648
85219,19,63,83685.68432092173
66629,51,231,118324.52372865786
71040,75,286,152902.324561108
33016,85,10,127599.6360406416
28960,73,1,106610.65029661015
38591,56,48,101092.46629182342
87848,43,156,128711.53989521659
72641,6,172,79237.32922832812
41395,95,237,155425.43331145326
27700,49,117,72762.19547692404
39620,28,323,85449.420228224
25559,65,240,99085.9794726275
98045,96,105,196239.69676462052
98396,69,58,156297.43589159954
66642,57,262,135610.79762838376
81539,25,170,97616.92203715752
26732,96,273,174908.32668877864
96362,71,23,169848.87433787363
35354,98,296,156356.7485786683
18843,5,213,19701.075874965412
76726,63,172,152970.25175804793
22640,51,159,81188.08032020081
57528,22,76,56712.07686008504
43413,37,221,85120.97226985762
57638,19,234,76901.13249164945
57736,28,98,85185.39174361844
73866,40,276,138162.8150866797
24087,64,175,109517.54463295681
46430,38,266,97814.33790010172
29504,94,193,150921.8069673517
12114,55,308,90135.46605534754
83859,44,319,133175.58668620235
15975,26,157,55090.034400594
16023,20,126,41577.5954768632
26447,46,86,90458.13509393635
95469,20,50,103325.61389717483
28959,9,65,44719.65878304583
71203,10,44,62852.10866366184
34703,46,264,97885.94252047648
14337,92,249,148378.6818156757
51427,34,265,96396.95152539377
66529,36,23,117763.0371606956
89665,57,252,160757.8554893484
36921,23,212,71714.86936353258
38307,55,16,101950.00056955614
32355,32,247,71943.8453963949
9835,51,238,101216.27060917439
25159,76,190,136032.77826130998
52605,5,215,65165.76742647776
43088,72,65,116562.31805278132
83752,61,180,149528.96386861542
60284,26,113,98257.55238948535
62043,90,151,185161.63530071007
40547,98,38,183156.90790414327
87844,62,264,155981.93501473806
32532,95,288,165804.63329261894
39349,95,40,144300.83597276016
50445,17,194,66927.90753852097
10713,43,269,60021.597723444575
61178,31,123,98044.4202124155
54407,43,27,115764.77764989263
75340,76,174,159529.01241167303
55990,16,71,58035.32271541314
80672,28,3,97578.19674999079
70545,22,341,98894.64568648525
89791,19,317,108201.42240595499
63141,64,72,143885.98949464792
28793,20,145,82049.45999887855
61570,78,285,167509.9607576511
42892,51,72,94883.32879815355
6015,28,179,36580.87252712416
66813,49,43,105490.25647935386
32712,23,200,81442.36645456523
13415,95,264,134861.29537294424
67292,45,234,113712.6474031325
28833,35,362,99333.32891772507
9158,89,124,106262.5304303098
67680,20,311,89027.33894656591
25309,27,173,65777.20669036113
11970,82,214,141965.61083170187
77474,27,323,123058.0482642731
91704,45,313,148136.13937818026
51540,22,49,83290.65223727538
25384,40,245,78461.0696004004
23017,16,54,44969.35704787438
80880,79,192,159045.45672256438
13702,73,102,104404.1605738607
5384,55,24,73665.48997096566
5404,89,62,125551.47976237211
45943,36,289,90527.92671117764
52926,97,99,172669.99041349933
34189,75,296,143265.876463103
17763,40,157,83405.5826268576
23384,44,8,74053.72863771449
65100,95,272,167647.7852339726
14860,74,320,121047.69094683276
85642,42,255,149455.09105441257
55612,58,139,121787.85184592586
28574,8,157,47687.35079372362
28524,50,305,99213.32783428453
74172,67,109,146069.43249176478
15916,78,88,129795.25269797671
9809,54,194,87248.09181150788
37201,34,5,67950.5639749911
58330,77,216,153720.97313579798
18456,20,44,53689.87237224457
61397,56,239,137198.83528559224
43765,8,135,41263.939477167485
39816,30,70,71339.06009566392
50106,33,325,111435.67900687094
58932,96,79,164347.08806040775
22100,15,99,40480.00231330846
62091,96,54,177778.16344367835
26949,28,201,56051.46784956693
75080,55,279,132702.9969237346
42744,46,186,86679.07744602625
50543,43,145,93663.78491929578
97193,11,117,100806.35814472871
41187,22,87,45511.00120054512
12239,7,302,50646.447555241575
19489,67,103,108631.22487140926
63017,24,303,88258.74836435031
66877,98,315,170914.0292395383
48125,77,103,135187.4721532454
54922,78,62,152006.00277764112
99074,74,310,188038.39699111253
37049,21,125,75464.43000222457
42131,83,141,148425.66995812897
47944,63,268,134683.67646068407
78963,58,2,141859.9429416947
29285,17,42,50451.52353975978
42626,46,182,104130.80938742781
47808,48,11,86053.47750439511
93464,90,240,187899.35442629489
58871,84,78,154194.94463084775
24198,71,213,123468.08537046841
24758,76,109,125562.65092694099
20254,24,177,49232.05452294048
49238,51,37,108728.68659969358
6252,28,292,46556.61708537983
44764,55,177,116210.51456366411
82709,22,58,98890.21509918806
42441,27,259,89734.79418056815
97234,5,161,101264.84214028479
58682,70,75,160389.00112818961
64494,9,199,50789.18269045005
86317,22,37,89926.95630064078
70215,84,178,165539.21277935538
83587,78,36,185876.23768737874
11949,97,283,134102.62630524798
60393,39,287,103998.00632089934
78553,29,320,109168.36607994628
11941,28,198,51925.78180663175
30934,17,246,61118.17345955869
28386,25,309,70941.93668201637
66886,43,310,121516.61387030994
80745,38,225,122261.6853122366
88251,23,320,125121.80105849977
99456,32,182,127137.64747160251
58413,95,65,151570.56159030748
61800,94,103,167608.6038017785
47318,15,170,64960.79927305212
75173,53,112,141576.56513575526
75390,39,236,126183.47993717207
57329,88,93,166920.0125299081
48088,80,75,148553.0715205982
44811,61,312,126620.18067748328
60479,32,15,80954.12723155823
90392,70,286,168684.33321816885
92369,69,23,148467.40567337495
24963,77,268,105305.88313703577
60123,26,92,86501.64004664266
97705,55,351,168029.69172572243
78477,95,158,175650.63969563626
19388,13,123,26181.221877171898
10569,75,103,116094.61113314611
74836,40,272,131549.14261544138
41586,58,158,107801.80742384201
17015,42,68,57718.97219596065
50002,70,289,150526.71648327366
11254,47,353,76835.04135623443
22144,9,252,55692.170154376625
29214,85,156,128339.45990256399
85719,41,207,133541.89199091765
76774,62,26,138760.40026443297
11090,67,125,99246.62101519396
16637,55,14,85989.07725400287
27415,76,185,126294.37603990495
29071,47,143,92961.81883712519
63243,71,194,141556.08168386866
46240,71,16,145300.70808378299
88807,69,293,145501.01524275422
38434,66,251,134301.0781353158
74724,92,267,184240.73522081008
80697,67,267,142049.05242186095
33732,34,161,85111.97181325294
16314,94,258,145905.30484570598
28954,42,33,92032.95203155937
62108,55,63,107665.19155632764
92044,42,340,150880.56911148876
92505,71,289,168869.51639739584
41668,81,282,140886.9167841702
28061,52,290,101378.62417698912
84252,16,78,105979.81808545812
44749,24,349,89726.25689584737
21907,76,242,122502.72783758683
23777,6,327,68721.04302601688
98229,79,203,194191.4682052747
56745,89,231,170300.2303111964
96865,59,94,153469.4781168374
86818,10,177,78194.96401515637
28624,87,303,163386.32337462605
28321,98,149,177610.48850884003
15488,66,199,114895.37441023403
27574,53,212,95004.07020649109
10240,88,317,129333.06202871264
48221,58,243,114316.54736092364
15478,14,5,41807.816616372205
60645,28,159,92283.57191599898
24262,33,190,61050.63621063543
57796,98,56,171484.33446689858
9432,10,194,20526.186423931133
69291,62,26,145160.00458058022
84104,82,68,184651.6473068499
64399,61,30,146626.90564909932
84714,7,276,92148.78550565439
55428,28,194,83643.01377149117
92731,23,109,84007.1829202025
5302,13,335,45913.41646061233
87558,34,307,125893.74018851816
5055,81,240,147067.2559541394
13717,86,270,139600.89426918977
33699,48,311,99551.66843740417
78686,57,309,150384.0567915099
72661,90,182,184768.34268332887
49247,72,222,158405.6048164072
21748,64,155,107531.5439917108
9621,27,2,44495.62938541298
20034,65,78,84822.29838005331
10126,11,91,32051.696633109415
10122,48,279,82584.36207743589
23030,59,163,92332.45736202647
87838,79,318,169926.19491419327
89717,43,112,109431.50220049651
60658,63,328,126876.42334338363
43638,9,59,40293.32074858874
72067,46,192,111626.03983407562
93869,93,348,201206.86015094182
